コード,市区町村名,人数,獲得比率,距離
22205,熱海市,2528879,1.049,2.7
22208,伊東市,662942,0.347,17.8
22203,沼津市,308302,0.079,18.7
22206,三島市,283314,0.104,12.7
14384,足柄下郡湯河原町,280688,0.352,7.4
14206,小田原市,253480,0.046,17.1
22325,田方郡函南町,188031,0.140,7.0
13111,大田区,155504,0.014,77.3
13112,世田谷区,143674,0.011,77.9
22210,富士市,131608,0.036,35.2
13115,杉並区,111388,0.014,82.8
14205,藤沢市,107653,0.019,45.2
22101,静岡市葵区,104091,0.030,78.8
22225,伊豆の国市,103176,0.083,12.1
13120,練馬区,100661,0.010,86.6
22103,静岡市清水区,93763,0.028,53.7
13109,品川区,88111,0.014,81.6
22342,駿東郡長泉町,85113,0.094,19.7
22102,静岡市駿河区,83469,0.024,66.4
13119,板橋区,80357,0.009,92.1
13209,町田市,76474,0.014,60.8
14207,茅ヶ崎市,75845,0.023,40.4
14109,横浜市港北区,75638,0.016,68.3
13121,足立区,74891,0.008,99.2
13123,江戸川区,73795,0.008,98.1
14110,横浜市戸塚区,70820,0.019,53.0
13201,八王子市,68607,0.008,63.9
14203,平塚市,67379,0.019,35.8
13108,江東区,66211,0.009,89.5
22219,下田市,61811,0.224,46.7
12204,船橋市,60194,0.007,109.9
12203,市川市,59578,0.008,102.5
14211,秦野市,59166,0.018,35.2
13114,中野区,58899,0.012,86.0
22301,賀茂郡東伊豆町,58187,0.248,31.4
13122,葛飾区,58074,0.008,100.6
14201,横須賀市,57084,0.010,58.0
14111,横浜市港南区,56562,0.017,55.8
11203,川口市,56334,0.007,100.2
14101,横浜市鶴見区,55652,0.013,69.9
14102,横浜市神奈川区,55277,0.017,65.0
14204,鎌倉市,54473,0.024,49.9
14153,相模原市南区,54115,0.014,55.6
14133,川崎市中原区,53915,0.016,73.9
13116,豊島区,53097,0.011,89.9
13117,北区,52929,0.011,94.6
13103,港区,52789,0.015,85.8
14117,横浜市青葉区,52336,0.012,64.7
13110,目黒区,51987,0.013,81.4
22341,駿東郡清水町,51914,0.084,16.3
13118,荒川区,49627,0.015,95.2
12207,松戸市,47582,0.006,110.0
13107,墨田区,47162,0.011,95.5
13104,新宿区,46479,0.011,88.1
14383,足柄下郡真鶴町,45894,0.287,8.2
14213,大和市,45273,0.015,53.3
11201,川越市,44855,0.009,95.8
13105,文京区,44712,0.014,91.0
14112,横浜市旭区,44441,0.013,58.4
22222,伊豆市,43446,0.068,25.1
14131,川崎市川崎区,42529,0.014,74.1
14105,横浜市南区,41864,0.015,59.3
12217,柏市,41269,0.006,117.7
14212,厚木市,41005,0.013,45.6
22207,富士宮市,40142,0.024,46.8
14216,座間市,39909,0.015,52.7
14217,南足柄市,39685,0.042,23.1
14137,川崎市麻生区,39405,0.014,67.0
14135,川崎市多摩区,38927,0.013,71.9
14132,川崎市幸区,37075,0.015,73.1
13106,台東区,36984,0.012,93.2
11221,草加市,36219,0.007,104.8
14115,横浜市栄区,35961,0.023,53.0
14134,川崎市高津区,35371,0.012,72.6
14108,横浜市金沢区,35278,0.014,56.7
14113,横浜市緑区,34382,0.014,60.6
14106,横浜市保土ケ谷区,34381,0.013,61.1
14152,相模原市中央区,32901,0.009,57.6
14116,横浜市泉区,31816,0.015,52.0
14104,横浜市中区,31091,0.015,63.4
22211,磐田市,30941,0.015,117.6
22214,藤枝市,30754,0.014,79.2
14107,横浜市磯子区,30528,0.013,58.7
14118,横浜市都筑区,30393,0.012,66.4
11107,さいたま市浦和区,30222,0.014,100.2
13102,中央区,29608,0.013,89.8
11208,所沢市,29206,0.007,85.2
13113,渋谷区,29058,0.009,83.8
22131,浜松市中区,28909,0.011,130.5
14136,川崎市宮前区,28156,0.009,70.3
22215,御殿場市,28098,0.018,26.5
14215,海老名市,28063,0.013,46.8
13204,三鷹市,27334,0.011,77.9
13206,府中市,25279,0.008,73.5
11222,越谷市,25011,0.005,110.4
22220,裾野市,24743,0.039,26.1
11103,さいたま市大宮区,24350,0.010,102.0
13211,小平市,23954,0.009,78.1
13229,西東京市,23560,0.008,82.1
13208,調布市,23206,0.007,75.1
11219,上尾市,22402,0.008,106.6
14103,横浜市西区,22144,0.016,63.1
13224,多摩市,22093,0.011,67.7
14341,中郡大磯町,21851,0.040,30.6
14151,相模原市緑区,21245,0.009,54.2
14114,横浜市瀬谷区,21052,0.013,55.1
14214,伊勢原市,20795,0.016,39.4
11108,さいたま市南区,20507,0.008,97.4
13202,立川市,20210,0.008,74.2
22209,島田市,20093,0.016,91.4
12221,八千代市,20015,0.007,116.6
13212,日野市,19737,0.009,69.1
13203,武蔵野市,19619,0.010,80.2
09201,宇都宮市,19566,0.003,181.3
22212,焼津市,19542,0.013,76.2
12222,我孫子市,19418,0.009,123.2
14366,足柄上郡開成町,19322,0.044,26.1
11202,熊谷市,18105,0.006,120.5
22133,浜松市西区,17908,0.012,138.5
22304,賀茂郡南伊豆町,17670,0.155,54.1
23201,豊橋市,17655,0.004,158.0
13214,国分寺市,17573,0.007,75.4
11214,春日部市,17398,0.006,116.7
11104,さいたま市見沼区,16522,0.007,106.1
10202,高崎市,16336,0.003,137.7
13225,稲城市,16008,0.012,69.3
14218,綾瀬市,15872,0.013,48.9
11215,狭山市,15827,0.006,89.3
09208,小山市,15693,0.008,148.1
12220,流山市,15262,0.006,114.6
13213,東村山市,15164,0.007,80.9
12227,浦安市,15117,0.006,96.4
14208,逗子市,15042,0.018,50.9
11230,新座市,15031,0.007,87.9
11225,入間市,14869,0.008,83.6
11224,戸田市,14847,0.008,94.8
12224,鎌ケ谷市,14813,0.008,111.5
13210,小金井市,14713,0.009,77.1
11102,さいたま市北区,14548,0.007,105.1
12216,習志野市,14175,0.006,107.8
12212,佐倉市,13921,0.006,124.8
22213,掛川市,13815,0.011,103.6
12219,市原市,13778,0.004,102.0
13205,青梅市,13693,0.008,79.2
23203,一宮市,13356,0.003,208.5
23202,岡崎市,13312,0.003,166.7
22302,賀茂郡河津町,13139,0.100,38.0
13219,狛江市,13130,0.012,74.3
13222,東久留米市,13128,0.008,82.5
26103,京都市左京区,13121,0.006,297.4
14342,中郡二宮町,12618,0.033,27.7
12102,千葉市花見川区,12554,0.005,112.2
11227,朝霞市,12387,0.006,91.2
21201,岐阜市,12364,0.003,211.1
11105,さいたま市中央区,12167,0.008,99.2
14362,足柄上郡大井町,12121,0.026,27.0
11235,富士見市,11782,0.007,94.4
24204,松阪市,11714,0.003,256.2
23206,春日井市,11661,0.003,188.6
23211,豊田市,11658,0.002,163.3
11217,鴻巣市,11551,0.007,115.0
12103,千葉市稲毛区,11304,0.006,111.4
22216,袋井市,11235,0.010,111.0
11209,飯能市,11207,0.011,88.6
11109,さいたま市緑区,11138,0.006,103.9
22224,菊川市,11131,0.017,98.7
11232,久喜市,11002,0.005,121.5
11231,桶川市,10958,0.011,108.2
22132,浜松市東区,10769,0.007,124.9
08220,つくば市,10676,0.004,142.3
12101,千葉市中央区,10142,0.004,110.3
12106,千葉市美浜区,10016,0.005,107.0
08204,古河市,10008,0.004,135.4
13221,清瀬市,9962,0.009,85.9
11228,志木市,9868,0.009,94.2
14321,高座郡寒川町,9853,0.016,41.4
29201,奈良市,9835,0.002,296.0
23101,名古屋市千種区,9780,0.005,192.9
11237,三郷市,9655,0.005,107.6
23107,名古屋市昭和区,9610,0.007,194.5
13220,東大和市,9500,0.008,78.5
11101,さいたま市西区,9378,0.008,100.2
11223,蕨市,9375,0.009,97.3
19201,甲府市,9374,0.003,79.7
27203,豊中市,9268,0.002,330.7
13215,国立市,9224,0.008,72.7
11245,ふじみ野市,9060,0.006,93.7
13207,昭島市,8792,0.006,72.1
12104,千葉市若葉区,8782,0.004,116.8
22134,浜松市南区,8758,0.008,128.7
08201,水戸市,8736,0.003,185.9
28204,西宮市,8672,0.001,344.5
11106,さいたま市桜区,8601,0.006,97.0
14401,愛甲郡愛川町,8565,0.015,51.3
27227,東大阪市,8373,0.001,319.3
14364,足柄上郡山北町,8231,0.023,35.6
08217,取手市,8180,0.005,127.0
08224,守谷市,8115,0.009,123.9
14382,足柄下郡箱根町,8104,0.051,14.6
21207,美濃市,8034,0.021,204.1
14363,足柄上郡松田町,7996,0.037,32.2
11234,八潮市,7833,0.007,105.6
05201,秋田市,7757,0.002,515.7
23104,名古屋市西区,7740,0.004,199.4
22136,浜松市浜北区,7687,0.007,120.6
27205,吹田市,7683,0.002,326.6
27210,枚方市,7608,0.001,310.8
26108,京都市右京区,7594,0.002,313.5
11206,行田市,7501,0.006,120.9
12208,野田市,7464,0.003,122.3
23115,名古屋市名東区,7448,0.004,188.2
12105,千葉市緑区,7445,0.005,117.4
24202,四日市市,7426,0.002,230.7
11218,深谷市,7364,0.004,120.4
23232,愛西市,7344,0.006,217.3
13101,千代田区,7245,0.007,89.0
11110,さいたま市岩槻区,7118,0.004,109.6
23207,豊川市,7056,0.003,160.1
05203,横手市,7026,0.008,480.2
25201,大津市,6981,0.002,291.4
23105,名古屋市中村区,6889,0.004,201.5
23212,安城市,6858,0.003,184.3
27211,茨木市,6850,0.002,323.1
13223,武蔵村山市,6846,0.008,77.3
13228,あきる野市,6725,0.006,71.0
10201,前橋市,6714,0.002,148.6
23114,名古屋市緑区,6680,0.002,191.5
23110,名古屋市中川区,6669,0.003,203.8
23116,名古屋市天白区,6566,0.003,190.5
33101,岡山市北区,6542,0.002,476.5
09210,大田原市,6533,0.004,216.6
21202,大垣市,6480,0.003,237.6
08203,土浦市,6365,0.003,150.2
23113,名古屋市守山区,6321,0.003,189.6
10205,太田市,6201,0.003,136.0
11238,蓮田市,6139,0.007,112.5
15103,新潟市中央区,6050,0.002,312.0
20201,長野市,6045,0.001,191.7
22226,牧之原市,6000,0.011,92.8
23210,刈谷市,5987,0.004,188.6
33202,倉敷市,5980,0.001,489.3
06201,山形市,5917,0.001,367.3
11233,北本市,5839,0.006,110.5
22221,湖西市,5808,0.008,147.5
14210,三浦市,5758,0.010,51.5
11243,吉川市,5748,0.006,113.1
26104,京都市中京区,5736,0.004,303.3
27207,高槻市,5702,0.001,316.9
24205,桑名市,5687,0.003,220.0
23108,名古屋市瑞穂区,5596,0.005,194.6
11229,和光市,5454,0.006,90.6
13361,大島町,5450,0.062,50.3
08227,筑西市,5409,0.004,154.7
23112,名古屋市南区,5408,0.003,196.0
28202,尼崎市,5403,0.001,336.7
22135,浜松市北区,5394,0.005,131.6
13218,福生市,5371,0.007,73.9
10207,館林市,5357,0.004,133.6
24207,鈴鹿市,5351,0.002,230.1
07201,福島市,5341,0.001,322.4
09203,栃木市,5316,0.003,148.9
28108,神戸市垂水区,5312,0.002,369.7
04105,仙台市泉区,5294,0.002,392.5
11211,本庄市,5260,0.007,121.6
28101,神戸市東灘区,5256,0.002,349.8
34207,福山市,5256,0.001,526.7
22344,駿東郡小山町,5236,0.018,28.8
28206,芦屋市,5170,0.004,346.5
24201,津市,5163,0.002,253.0
12211,成田市,5094,0.003,140.1
23102,名古屋市東区,5077,0.005,195.8
11210,加須市,5075,0.003,126.1
07204,いわき市,5001,0.001,270.7
11239,坂戸市,4979,0.004,99.2
14301,三浦郡葉山町,4915,0.012,51.5
10204,伊勢崎市,4883,0.002,136.3
11212,東松山市,4832,0.004,108.5
22305,賀茂郡松崎町,4832,0.046,45.4
04101,仙台市青葉区,4818,0.001,386.9
12228,四街道市,4804,0.004,118.0
28203,明石市,4785,0.001,380.9
09202,足利市,4781,0.002,143.4
26109,京都市伏見区,4767,0.001,303.4
11246,白岡市,4756,0.007,115.7
27123,大阪市淀川区,4730,0.002,331.2
28207,伊丹市,4728,0.001,336.4
02203,八戸市,4728,0.001,633.6
30201,和歌山市,4594,0.001,365.4
28201,姫路市,4534,0.001,402.0
28214,宝塚市,4494,0.002,343.4
23109,名古屋市熱田区,4460,0.005,198.7
12232,白井市,4429,0.006,118.7
11324,入間郡三芳町,4395,0.007,90.3
12206,木更津市,4372,0.003,86.0
26111,京都市西京区,4366,0.002,309.8
23220,稲沢市,4333,0.002,210.9
09361,下都賀郡壬生町,4325,0.009,163.6
23106,名古屋市中区,4315,0.004,197.4
37201,高松市,4307,0.001,469.2
23234,北名古屋市,4292,0.004,201.2
07203,郡山市,4277,0.001,281.9
23219,小牧市,4273,0.002,194.7
17201,金沢市,4236,0.001,263.8
11241,鶴ヶ島市,4171,0.005,96.9
42201,長崎市,4161,0.001,887.2
26204,宇治市,4146,0.002,297.9
16201,富山市,4146,0.001,231.3
11301,北足立郡伊奈町,4144,0.007,110.9
15222,上越市,4113,0.002,235.1
08221,ひたちなか市,4093,0.002,195.8
23213,西尾市,4070,0.002,187.5
12231,印西市,4058,0.004,125.8
08202,日立市,4025,0.002,217.0
13227,羽村市,3986,0.005,76.5
28210,加古川市,3976,0.001,384.9
02201,青森市,3970,0.001,649.3
22306,賀茂郡西伊豆町,3941,0.048,38.8
12202,銚子市,3909,0.005,168.6
12239,大網白里市,3858,0.005,122.3
21213,各務原市,3829,0.002,201.6
28111,神戸市西区,3826,0.002,374.1
23103,名古屋市北区,3811,0.002,197.3
09204,佐野市,3753,0.002,152.9
23223,大府市,3735,0.004,192.6
11464,北葛飾郡杉戸町,3681,0.006,119.9
11240,幸手市,3641,0.005,123.6
08219,牛久市,3627,0.004,138.0
17210,白山市,3623,0.002,255.9
01105,札幌市豊平区,3589,0.001,899.6
20217,佐久市,3557,0.003,135.1
21206,中津川市,3547,0.005,153.9
21204,多治見市,3544,0.003,180.7
01101,札幌市中央区,3515,0.001,903.6
15107,新潟市西区,3433,0.001,306.2
27114,大阪市東淀川区,3394,0.001,325.8
12237,山武市,3386,0.005,134.1
32202,浜田市,3355,0.003,628.1
09205,鹿沼市,3323,0.003,172.6
28109,神戸市北区,3307,0.001,356.8
27212,八尾市,3238,0.001,320.5
28107,神戸市須磨区,3218,0.002,365.5
07205,白河市,3210,0.003,248.5
18201,福井市,3193,0.001,284.4
04102,仙台市宮城野区,3186,0.001,390.4
04323,柴田郡柴田町,3184,0.006,365.5
10203,桐生市,3177,0.002,152.6
27215,寝屋川市,3142,0.001,316.8
08208,龍ケ崎市,3111,0.003,138.8
08235,つくばみらい市,3092,0.006,130.8
27121,大阪市東住吉区,3089,0.002,328.3
08207,結城市,3072,0.004,147.0
33212,瀬戸内市,3070,0.003,454.1
25203,長浜市,3063,0.002,262.9
23214,蒲郡市,3040,0.004,168.6
03201,盛岡市,3026,0.001,551.0
27127,大阪市北区,2980,0.002,329.4
12225,君津市,2941,0.003,88.2
23209,碧南市,2936,0.003,191.1
15202,長岡市,2901,0.001,264.1
12210,茂原市,2892,0.003,116.7
27141,堺市堺区,2892,0.001,333.8
