コード,市区町村名,人数,獲得比率,距離
14104,横浜市中区,942734,0.162,2.2
14105,横浜市南区,177096,0.049,4.8
14107,横浜市磯子区,154379,0.048,6.3
14109,横浜市港北区,150462,0.034,9.4
13112,世田谷区,129980,0.013,21.5
14102,横浜市神奈川区,126688,0.038,5.1
13111,大田区,122558,0.015,15.0
14101,横浜市鶴見区,101735,0.027,7.6
14106,横浜市保土ケ谷区,93596,0.035,6.0
14110,横浜市戸塚区,93148,0.028,11.2
14111,横浜市港南区,91220,0.036,8.2
14205,藤沢市,90773,0.017,18.9
14201,横須賀市,84154,0.018,20.7
14117,横浜市青葉区,83504,0.021,17.3
14112,横浜市旭区,81632,0.026,11.0
14108,横浜市金沢区,80711,0.031,10.4
14103,横浜市西区,66468,0.047,2.7
13120,練馬区,65818,0.009,33.7
14206,小田原市,64364,0.013,52.2
14113,横浜市緑区,61220,0.026,14.2
14118,横浜市都筑区,57564,0.026,12.6
13115,杉並区,56190,0.009,28.4
14133,川崎市中原区,55799,0.020,14.7
13109,品川区,55405,0.012,20.3
14116,横浜市泉区,55132,0.023,13.4
13121,足立区,54921,0.008,39.5
13123,江戸川区,54442,0.008,35.1
13119,板橋区,53832,0.009,36.3
13209,町田市,53809,0.012,22.7
14134,川崎市高津区,51615,0.020,16.5
14115,横浜市栄区,50207,0.031,11.6
13108,江東区,49975,0.009,27.2
14204,鎌倉市,49735,0.023,15.0
14216,座間市,45300,0.016,21.9
13201,八王子市,44057,0.007,42.1
14203,平塚市,44056,0.012,31.1
14213,大和市,43969,0.017,17.7
13110,目黒区,43480,0.013,21.5
12204,船橋市,42710,0.007,46.2
14131,川崎市川崎区,41704,0.017,10.5
14152,相模原市中央区,41423,0.013,28.1
12203,市川市,40085,0.008,39.4
14135,川崎市多摩区,39919,0.016,21.1
14207,茅ヶ崎市,39735,0.013,24.1
11203,川口市,39726,0.006,44.0
14153,相模原市南区,39244,0.013,23.6
14136,川崎市宮前区,38940,0.017,17.0
13122,葛飾区,38406,0.007,39.2
14132,川崎市幸区,35324,0.020,11.5
12207,松戸市,33212,0.006,47.7
13114,中野区,32736,0.009,29.3
13117,北区,32244,0.008,36.6
14215,海老名市,30442,0.015,23.2
13104,新宿区,29422,0.008,29.4
13105,文京区,28783,0.012,31.7
13103,港区,27519,0.010,24.9
14114,横浜市瀬谷区,26562,0.021,14.6
13107,墨田区,25233,0.009,34.0
13116,豊島区,24481,0.008,32.2
14212,厚木市,23969,0.010,29.1
11208,所沢市,23945,0.008,43.3
13206,府中市,22818,0.009,29.2
12217,柏市,22140,0.005,55.6
13113,渋谷区,22118,0.010,25.2
13106,台東区,20911,0.009,32.5
11222,越谷市,20878,0.006,53.3
09201,宇都宮市,20467,0.004,130.1
13118,荒川区,20175,0.009,35.2
14137,川崎市麻生区,20084,0.011,21.2
13208,調布市,19781,0.008,25.7
13229,西東京市,19370,0.009,33.8
13204,三鷹市,18995,0.009,27.7
13102,中央区,18376,0.010,28.5
13210,小金井市,18255,0.008,31.2
11219,上尾市,18090,0.005,58.5
12219,市原市,17785,0.006,45.4
11201,川越市,17674,0.005,52.8
13212,日野市,16632,0.008,33.0
