コード,市区町村名,人数,獲得比率,距離
14205,藤沢市,2056477,0.085,6.2
14204,鎌倉市,738344,0.115,6.1
14207,茅ヶ崎市,115298,0.024,8.6
14213,大和市,59496,0.014,18.1
14203,平塚市,55726,0.013,16.1
14110,横浜市戸塚区,55427,0.013,11.0
14201,横須賀市,43572,0.009,19.0
14104,横浜市中区,37342,0.007,19.7
14153,相模原市南区,32768,0.008,25.0
13209,町田市,28588,0.004,28.2
13112,世田谷区,27584,0.003,38.6
14115,横浜市栄区,26668,0.018,9.2
14109,横浜市港北区,19758,0.005,26.9
14116,横浜市泉区,19701,0.010,12.0
14112,横浜市旭区,18587,0.006,18.7
13111,大田区,18250,0.002,35.0
14111,横浜市港南区,17280,0.007,12.4
14301,三浦郡葉山町,17144,0.021,11.5
14206,小田原市,16724,0.006,34.0
14135,川崎市多摩区,16276,0.005,34.8
14106,横浜市保土ケ谷区,16034,0.006,19.2
14108,横浜市金沢区,15893,0.007,13.2
14321,高座郡寒川町,15796,0.011,11.5
13115,杉並区,15249,0.002,44.9
14105,横浜市南区,15186,0.006,16.2
14341,中郡大磯町,15154,0.016,17.6
14208,逗子市,15020,0.024,9.0
14102,横浜市神奈川区,14912,0.005,22.8
13120,練馬区,14908,0.002,49.8
14107,横浜市磯子区,14672,0.008,14.9
14212,厚木市,14533,0.005,22.1
13201,八王子市,14430,0.002,43.6
14117,横浜市青葉区,14210,0.004,27.8
13104,新宿区,13952,0.003,48.1
13109,品川区,12894,0.003,39.9
14101,横浜市鶴見区,12851,0.004,27.4
14216,座間市,12510,0.008,21.2
14131,川崎市川崎区,12118,0.004,31.1
14136,川崎市宮前区,11419,0.003,31.6
14218,綾瀬市,11326,0.008,15.0
14152,相模原市中央区,11022,0.004,29.8
13119,板橋区,10964,0.002,53.9
14114,横浜市瀬谷区,9985,0.007,17.6
13121,足立区,9825,0.001,58.9
14137,川崎市麻生区,9249,0.005,31.7
13123,江戸川区,9046,0.001,55.6
13116,豊島区,8952,0.003,50.5
13108,江東区,8906,0.002,47.4
14118,横浜市都筑区,8838,0.004,26.8
14215,海老名市,8711,0.006,16.7
13114,中野区,8558,0.002,47.0
14211,秦野市,8341,0.004,27.8
14113,横浜市緑区,8075,0.004,22.8
13113,渋谷区,7746,0.003,43.7
14133,川崎市中原区,7358,0.003,32.9
14134,川崎市高津区,7122,0.003,32.9
14214,伊勢原市,7101,0.006,20.2
11203,川口市,6853,0.001,62.0
14103,横浜市西区,6657,0.006,20.3
13122,葛飾区,6583,0.001,59.2
13110,目黒区,6509,0.002,40.5
14132,川崎市幸区,6306,0.003,31.0
12203,市川市,6089,0.001,59.9
12204,船橋市,5613,0.001,66.8
13118,荒川区,5579,0.002,54.6
13103,港区,5372,0.002,44.4
13117,北区,5219,0.001,55.2
14210,三浦市,5148,0.010,20.6
14151,相模原市緑区,5053,0.003,37.0
13208,調布市,5049,0.002,39.2
13206,府中市,4962,0.002,40.2
13105,文京区,4941,0.002,50.7
13212,日野市,4748,0.002,40.1
13107,墨田区,4335,0.001,54.0
14342,中郡二宮町,4267,0.012,21.4
13106,台東区,4208,0.002,52.1
12207,松戸市,3623,0.001,68.0
11222,越谷市,3588,0.001,71.8
13214,国分寺市,3438,0.003,43.9
13224,多摩市,3325,0.002,35.8
11208,所沢市,3278,0.001,54.8
13204,三鷹市,3184,0.001,41.9
13229,西東京市,3175,0.001,47.5
13203,武蔵野市,3103,0.002,44.6
11108,さいたま市南区,3097,0.001,61.3
11201,川越市,3042,0.001,65.4
13210,小金井市,3037,0.002,43.4
13219,狛江市,2984,0.003,36.8
12217,柏市,2927,0.001,75.9
22208,伊東市,2924,0.002,54.2
13202,立川市,2910,0.001,45.2
13211,小平市,2807,0.001,46.2
11224,戸田市,2578,0.002,58.1
11221,草加市,2505,0.001,65.2
13102,中央区,2491,0.001,48.3
13205,青梅市,2357,0.001,58.9
13225,稲城市,2286,0.003,35.3
11230,新座市,2253,0.001,53.6
13215,国立市,2108,0.002,42.0
11107,さいたま市浦和区,2072,0.001,64.3
12216,習志野市,1931,0.001,64.3
11102,さいたま市北区,1923,0.001,70.9
13222,東久留米市,1869,0.002,49.2
11219,上尾市,1866,0.001,73.5
11227,朝霞市,1866,0.001,56.0
13213,東村山市,1829,0.001,49.7
11109,さいたま市緑区,1773,0.001,67.0
12227,浦安市,1772,0.001,53.2
08217,取手市,1711,0.001,85.0
11104,さいたま市見沼区,1674,0.001,70.6
14217,南足柄市,1663,0.004,37.8
13101,千代田区,1560,0.002,48.0
09201,宇都宮市,1547,0.000,147.4
12101,千葉市中央区,1539,0.001,66.6
12219,市原市,1530,0.001,60.2
13228,あきる野市,1523,0.002,53.0
11229,和光市,1453,0.002,54.5
14384,足柄下郡湯河原町,1448,0.005,40.6
13220,東大和市,1406,0.002,49.0
22203,沼津市,1385,0.001,61.4
11215,狭山市,1346,0.001,61.3
14401,愛甲郡愛川町,1341,0.003,29.3
11202,熊谷市,1285,0.001,95.2
12220,流山市,1249,0.001,73.7
11237,三郷市,1243,0.001,66.8
11214,春日部市,1243,0.001,79.6
11103,さいたま市大宮区,1190,0.001,67.3
13207,昭島市,1160,0.001,45.6
12221,八千代市,1158,0.001,73.1
11225,入間市,1143,0.001,57.4
10202,高崎市,1105,0.000,122.4
12103,千葉市稲毛区,1099,0.001,67.6
11106,さいたま市桜区,1097,0.001,62.0
25201,大津市,1081,0.000,329.2
27203,豊中市,1037,0.000,370.4
12222,我孫子市,986,0.001,80.9
11234,八潮市,978,0.001,65.2
13223,武蔵村山市,965,0.001,50.0
11238,蓮田市,961,0.002,78.0
14362,足柄上郡大井町,954,0.005,29.5
11243,吉川市,906,0.001,73.4
11245,ふじみ野市,904,0.001,61.9
12224,鎌ケ谷市,903,0.001,68.8
11228,志木市,891,0.001,59.5
12212,佐倉市,888,0.001,81.1
12211,成田市,887,0.000,96.4
11235,富士見市,874,0.001,61.1
22101,静岡市葵区,831,0.000,112.9
19201,甲府市,822,0.000,93.0
10201,前橋市,800,0.000,129.5
12106,千葉市美浜区,782,0.000,63.2
11105,さいたま市中央区,769,0.001,64.2
08220,つくば市,761,0.000,101.9
12208,野田市,755,0.000,84.1
13227,羽村市,737,0.001,52.6
08204,古河市,720,0.000,100.3
22210,富士市,717,0.000,69.5
27127,大阪市北区,717,0.000,369.5
22103,静岡市清水区,714,0.000,94.3
11101,さいたま市西区,710,0.001,66.9
40135,福岡市西区,703,0.000,868.9
13221,清瀬市,699,0.001,52.7
22205,熱海市,694,0.002,46.4
13218,福生市,691,0.001,48.9
14361,足柄上郡中井町,676,0.006,24.5
08201,水戸市,663,0.000,145.0
12206,木更津市,660,0.000,43.5
12225,君津市,648,0.000,49.3
12102,千葉市花見川区,647,0.000,68.5
27109,大阪市天王寺区,646,0.001,368.6
11239,坂戸市,644,0.001,72.5
12228,四街道市,642,0.001,74.2
27205,吹田市,628,0.000,366.2
11223,蕨市,620,0.001,59.8
11233,北本市,596,0.001,79.6
11212,東松山市,572,0.001,81.7
11246,白岡市,569,0.001,80.9
10464,佐波郡玉村町,551,0.001,115.1
12105,千葉市緑区,549,0.000,74.2
27227,東大阪市,543,0.000,359.7
22215,御殿場市,539,0.001,53.9
12230,八街市,528,0.001,81.6
10205,太田市,522,0.000,111.5
14363,足柄上郡松田町,518,0.003,34.1
21209,羽島市,507,0.001,253.2
23201,豊橋市,505,0.000,200.1
11231,桶川市,487,0.001,76.8
22342,駿東郡長泉町,482,0.001,57.9
09202,足利市,477,0.000,116.4
12104,千葉市若葉区,477,0.000,73.1
11217,鴻巣市,476,0.000,85.2
11232,久喜市,472,0.000,87.7
11110,さいたま市岩槻区,469,0.000,73.0
28202,尼崎市,469,0.000,376.6
14402,愛甲郡清川村,468,0.011,30.9
11218,深谷市,451,0.000,98.6
11240,幸手市,449,0.001,87.9
09361,下都賀郡壬生町,446,0.001,130.1
09203,栃木市,438,0.000,116.7
10204,伊勢崎市,437,0.000,115.6
11442,南埼玉郡宮代町,431,0.001,82.2
23211,豊田市,427,0.000,201.1
09216,下野市,426,0.001,127.3
19430,南都留郡富士河口湖町,424,0.002,79.7
08224,守谷市,416,0.001,83.1
22212,焼津市,414,0.000,119.5
08208,龍ケ崎市,410,0.001,96.1
08219,牛久市,400,0.000,95.9
26110,京都市山科区,397,0.000,335.2
36201,徳島市,394,0.000,477.5
27146,堺市北区,390,0.000,371.2
19212,上野原市,386,0.002,52.5
13303,西多摩郡瑞穂町,385,0.001,52.3
40133,福岡市中央区,385,0.000,856.0
07201,福島市,385,0.000,288.6
22102,静岡市駿河区,379,0.000,109.0
28204,西宮市,375,0.000,384.1
23107,名古屋市昭和区,372,0.000,232.1
22220,裾野市,370,0.001,59.0
27125,大阪市住之江区,367,0.000,373.4
11241,鶴ヶ島市,365,0.000,70.0
11209,飯能市,359,0.000,69.8
27106,大阪市西区,356,0.000,371.4
19211,笛吹市,355,0.001,79.9
07204,いわき市,354,0.000,231.1
37324,小豆郡小豆島町,350,0.000,483.9
28111,神戸市西区,344,0.000,413.7
14382,足柄下郡箱根町,344,0.003,40.9
22206,三島市,341,0.000,53.3
11326,入間郡毛呂山町,333,0.001,71.4
09213,那須塩原市,330,0.000,190.8
11242,日高市,327,0.001,66.6
26103,京都市左京区,326,0.000,334.5
14383,足柄下郡真鶴町,326,0.003,36.1
08221,ひたちなか市,325,0.000,154.2
12329,印旛郡栄町,324,0.002,90.9
14366,足柄上郡開成町,318,0.001,32.9
23207,豊川市,314,0.000,201.3
27230,交野市,308,0.000,351.4
40134,福岡市南区,308,0.000,854.7
08202,日立市,307,0.000,176.0
22131,浜松市中区,306,0.000,173.3
29201,奈良市,305,0.000,336.7
22222,伊豆市,305,0.001,67.7
04105,仙台市泉区,305,0.000,357.9
11210,加須市,303,0.000,93.4
11206,行田市,300,0.000,92.6
27114,大阪市東淀川区,299,0.000,365.7
20201,長野市,298,0.000,192.2
30201,和歌山市,294,0.000,407.3
27210,枚方市,291,0.000,350.3
11301,北足立郡伊奈町,286,0.001,77.3
21201,岐阜市,282,0.000,245.0
10209,藤岡市,281,0.000,107.7
17201,金沢市,281,0.000,282.8
04101,仙台市青葉区,281,0.000,353.0
15222,上越市,279,0.000,227.7
24208,名張市,278,0.000,316.5
23104,名古屋市西区,278,0.000,236.3
22207,富士宮市,272,0.000,78.6
27102,大阪市都島区,272,0.000,366.5
23110,名古屋市中川区,269,0.000,241.4
27207,高槻市,269,0.000,356.0
11464,北葛飾郡杉戸町,266,0.001,83.6
12210,茂原市,263,0.000,74.6
08205,石岡市,260,0.000,119.9
23222,東海市,259,0.000,236.9
27211,茨木市,258,0.000,362.4
19209,北杜市,257,0.001,114.5
26204,宇治市,256,0.000,337.0
23205,半田市,256,0.000,238.2
12231,印西市,254,0.000,82.4
12213,東金市,252,0.000,84.2
08210,下妻市,250,0.000,107.2
21213,各務原市,249,0.000,235.9
12215,旭市,248,0.000,116.3
01102,札幌市北区,248,0.000,883.5
09209,真岡市,246,0.000,131.9
01108,札幌市厚別区,246,0.000,877.5
13361,大島町,244,0.003,64.2
06201,山形市,243,0.000,335.3
11343,比企郡小川町,242,0.001,84.7
11347,比企郡吉見町,242,0.001,81.9
19206,大月市,242,0.001,62.9
09204,佐野市,239,0.000,123.7
24204,松阪市,237,0.000,298.3
08227,筑西市,232,0.000,117.2
23115,名古屋市名東区,231,0.000,225.6
28101,神戸市東灘区,229,0.000,389.5
20202,松本市,223,0.000,177.0
23116,名古屋市天白区,221,0.000,228.4
12202,銚子市,219,0.000,125.1
11385,児玉郡上里町,218,0.001,109.3
27124,大阪市鶴見区,218,0.000,362.5
10208,渋川市,217,0.000,140.8
22225,伊豆の国市,216,0.000,55.8
28219,三田市,214,0.000,391.9
23103,名古屋市北区,212,0.000,234.1
05201,秋田市,209,0.000,487.1
26106,京都市下京区,208,0.000,341.8
23203,一宮市,208,0.000,244.1
23114,名古屋市緑区,208,0.000,230.0
21202,大垣市,203,0.000,273.6
09208,小山市,202,0.000,113.8
28105,神戸市兵庫区,201,0.000,400.2
08231,桜川市,200,0.001,125.5
28110,神戸市中央区,200,0.000,397.3
08521,結城郡八千代町,200,0.001,103.2
28206,芦屋市,199,0.000,386.2
08203,土浦市,199,0.000,108.6
24202,四日市市,198,0.000,269.7
28207,伊丹市,197,0.000,376.0
