コード,市区町村名,人数,獲得比率,距離
14206,小田原市,452205,0.058,3.1
14382,足柄下郡箱根町,387875,0.520,4.8
14384,足柄下郡湯河原町,98051,0.050,7.0
13112,世田谷区,68952,0.006,66.3
14211,秦野市,55509,0.015,21.4
14203,平塚市,51146,0.011,24.4
14217,南足柄市,46056,0.039,9.5
13103,港区,39302,0.005,74.8
14205,藤沢市,36491,0.007,36.0
13111,大田区,35649,0.004,66.9
13209,町田市,34900,0.007,48.2
14366,足柄上郡開成町,33214,0.046,11.9
13115,杉並区,32654,0.004,70.6
14207,茅ヶ崎市,26921,0.009,30.7
13108,江東区,26293,0.003,78.8
13109,品川区,26247,0.004,70.8
14201,横須賀市,25590,0.005,53.3
14212,厚木市,24614,0.008,32.8
13120,練馬区,24147,0.003,74.1
14153,相模原市南区,23766,0.007,43.1
13121,足立区,23008,0.002,87.5
14383,足柄下郡真鶴町,22112,0.045,8.2
13119,板橋区,22020,0.003,79.9
14109,横浜市港北区,21372,0.005,57.8
14117,横浜市青葉区,21227,0.006,52.8
13201,八王子市,20341,0.003,49.9
13104,新宿区,20171,0.005,76.5
11203,川口市,20152,0.002,87.9
14101,横浜市鶴見区,18628,0.004,60.0
14152,相模原市中央区,18499,0.005,44.5
14110,横浜市戸塚区,18453,0.006,43.7
13110,目黒区,18445,0.005,70.3
14137,川崎市麻生区,18415,0.008,54.7
13123,江戸川区,18244,0.002,87.6
14213,大和市,18189,0.006,41.8
14135,川崎市多摩区,18087,0.007,59.8
13114,中野区,17715,0.004,74.1
12204,船橋市,17043,0.002,99.8
14112,横浜市旭区,16228,0.005,47.7
13116,豊島区,15997,0.003,78.1
14102,横浜市神奈川区,15638,0.006,55.0
13122,葛飾区,15171,0.002,89.5
14136,川崎市宮前区,15117,0.004,58.7
14118,横浜市都筑区,15068,0.006,55.3
12203,市川市,14909,0.002,92.1
14106,横浜市保土ケ谷区,14684,0.006,51.1
22205,熱海市,14605,0.011,16.4
14204,鎌倉市,14434,0.007,42.3
14215,海老名市,13998,0.008,35.1
