コード,市区町村名,人数,獲得比率,距離
14204,鎌倉市,3728295,0.411,1.6
14208,逗子市,595061,0.334,3.9
14205,藤沢市,355379,0.040,9.4
14201,横須賀市,317653,0.042,14.0
14110,横浜市戸塚区,205460,0.041,9.4
14115,横浜市栄区,164672,0.064,4.9
14108,横浜市金沢区,142669,0.044,7.6
14207,茅ヶ崎市,123546,0.027,13.6
14111,横浜市港南区,115019,0.028,8.6
14301,三浦郡葉山町,107074,0.171,7.2
14107,横浜市磯子区,76110,0.030,10.2
14116,横浜市泉区,72365,0.026,11.9
13111,大田区,69313,0.007,31.3
14112,横浜市旭区,60644,0.013,17.5
14109,横浜市港北区,59629,0.013,24.0
14106,横浜市保土ケ谷区,55753,0.021,16.5
13112,世田谷区,51904,0.005,36.2
14153,相模原市南区,50988,0.009,26.5
14105,横浜市南区,50353,0.019,12.7
14102,横浜市神奈川区,49183,0.015,19.5
14104,横浜市中区,47965,0.022,15.1
14213,大和市,47074,0.013,19.1
14203,平塚市,45987,0.013,21.4
13209,町田市,39697,0.007,28.8
14101,横浜市鶴見区,38706,0.010,23.7
14133,川崎市中原区,32438,0.011,30.0
13109,品川区,32066,0.007,36.4
14210,三浦市,30131,0.028,18.0
13115,杉並区,29886,0.005,42.8
14117,横浜市青葉区,28263,0.008,27.0
14103,横浜市西区,27951,0.020,16.7
13110,目黒区,26839,0.007,37.3
14118,横浜市都筑区,26243,0.010,24.8
13121,足立区,26155,0.003,55.6
13120,練馬区,26097,0.003,47.9
14132,川崎市幸区,25362,0.011,27.5
14113,横浜市緑区,23978,0.011,22.1
13119,板橋区,23880,0.004,51.4
13108,江東区,23515,0.004,43.5
14212,厚木市,23324,0.006,25.8
14114,横浜市瀬谷区,20864,0.012,17.6
13201,八王子市,20705,0.003,45.8
13123,江戸川区,20120,0.003,51.4
14134,川崎市高津区,19947,0.007,30.6
14218,綾瀬市,19812,0.011,17.2
14131,川崎市川崎区,19689,0.007,26.8
14206,小田原市,19102,0.007,39.8
14137,川崎市麻生区,18901,0.008,31.1
13104,新宿区,18549,0.005,45.1
13122,葛飾区,18398,0.003,55.5
14135,川崎市多摩区,17705,0.006,33.4
13116,豊島区,17410,0.005,47.8
13114,中野区,17108,0.004,44.4
14152,相模原市中央区,16658,0.006,31.5
12204,船橋市,16594,0.002,62.2
13103,港区,16393,0.006,41.0
13113,渋谷区,15805,0.006,40.8
14215,海老名市,15557,0.008,19.7
13117,北区,14506,0.004,52.3
12203,市川市,14392,0.003,55.6
14136,川崎市宮前区,14294,0.006,29.8
14341,中郡大磯町,14194,0.020,23.4
14216,座間市,13698,0.009,23.0
11203,川口市,12753,0.002,59.4
13105,文京区,12748,0.005,47.6
13106,台東区,10911,0.004,48.7
13102,中央区,10679,0.005,44.8
12207,松戸市,10260,0.002,64.0
13107,墨田区,10008,0.003,50.3
14151,相模原市緑区,9643,0.005,40.2
13208,調布市,9183,0.004,38.0
14211,秦野市,8874,0.005,32.9
13206,府中市,8873,0.003,39.8
13118,荒川区,8725,0.004,51.3
14214,伊勢原市,7573,0.007,24.9
12217,柏市,7570,0.002,71.9
14321,高座郡寒川町,7336,0.011,16.0
11222,越谷市,7146,0.002,69.0
13204,三鷹市,6943,0.003,40.5
13214,国分寺市,6857,0.004,43.7
11201,川越市,6742,0.002,64.9
13224,多摩市,6524,0.004,36.0
11208,所沢市,6169,0.002,54.5
12227,浦安市,6075,0.003,48.7
22203,沼津市,5878,0.002,67.0
13229,西東京市,5819,0.003,46.4
13210,小金井市,5795,0.004,42.7
11107,さいたま市浦和区,5534,0.003,62.4
13211,小平市,5530,0.003,45.9
13203,武蔵野市,5415,0.003,43.3
13219,狛江市,5290,0.005,35.2
14342,中郡二宮町,5242,0.012,27.1
11214,春日部市,4927,0.002,77.2
13202,立川市,4763,0.002,45.6
12101,千葉市中央区,4581,0.002,61.2
13212,日野市,4532,0.002,40.8
11221,草加市,4413,0.002,62.1
12216,習志野市,4236,0.002,59.4
13205,青梅市,4193,0.002,60.5
11229,和光市,4093,0.004,52.7
09201,宇都宮市,3949,0.001,145.3
11219,上尾市,3851,0.002,72.2
11108,さいたま市南区,3743,0.002,59.4
22101,静岡市葵区,3606,0.001,118.6
13222,東久留米市,3496,0.003,48.4
14384,足柄下郡湯河原町,3466,0.005,46.2
11230,新座市,3420,0.002,52.3
11237,三郷市,3401,0.002,63.2
11104,さいたま市見沼区,3312,0.002,68.7
12220,流山市,3237,0.001,70.1
11227,朝霞市,3176,0.002,54.4
12219,市原市,3166,0.001,54.4
11103,さいたま市大宮区,3161,0.002,65.7
11109,さいたま市緑区,3134,0.002,64.7
