コード,市区町村名,人数,獲得比率,距離
14109,横浜市港北区,729899,0.087,7.8
14103,横浜市西区,695598,0.230,1.3
14104,横浜市中区,656362,0.197,3.8
14102,横浜市神奈川区,584688,0.121,3.5
14105,横浜市南区,504701,0.118,4.8
14106,横浜市保土ケ谷区,432583,0.096,4.7
14110,横浜市戸塚区,353052,0.060,11.0
14107,横浜市磯子区,316302,0.097,7.4
14111,横浜市港南区,311356,0.076,8.6
14112,横浜市旭区,287101,0.059,9.7
14205,藤沢市,275568,0.029,18.8
14101,横浜市鶴見区,253327,0.050,6.6
13111,大田区,244806,0.021,14.2
14201,横須賀市,241652,0.031,22.3
14108,横浜市金沢区,233848,0.061,11.7
14117,横浜市青葉区,226965,0.034,15.6
14133,川崎市中原区,212386,0.045,13.3
14118,横浜市都筑区,200953,0.053,10.9
13112,世田谷区,198961,0.013,20.1
14113,横浜市緑区,175146,0.041,12.7
14116,横浜市泉区,165169,0.050,12.9
13109,品川区,143127,0.017,19.3
14115,横浜市栄区,136827,0.056,12.2
14213,大和市,129498,0.026,16.5
14131,川崎市川崎区,129312,0.030,10.2
14204,鎌倉市,128965,0.041,15.7
13209,町田市,122259,0.014,21.1
14207,茅ヶ崎市,113554,0.022,23.9
14132,川崎市幸区,112003,0.033,10.5
14136,川崎市宮前区,111323,0.021,15.3
14114,横浜市瀬谷区,106021,0.042,13.4
13110,目黒区,102645,0.022,20.4
13120,練馬区,98988,0.009,32.2
14134,川崎市高津区,80025,0.023,15.0
13115,杉並区,74939,0.009,27.0
14203,平塚市,74307,0.016,30.6
14135,川崎市多摩区,69370,0.018,19.5
14153,相模原市南区,63078,0.017,22.2
13201,八王子市,62924,0.006,40.5
14215,海老名市,62192,0.021,22.3
14152,相模原市中央区,61881,0.015,26.6
13123,江戸川区,60834,0.006,34.6
12204,船橋市,60248,0.005,45.9
13116,豊島区,59553,0.011,31.0
13121,足立区,58117,0.006,38.6
13119,板橋区,57524,0.007,35.0
14216,座間市,57426,0.018,20.7
13117,北区,56498,0.007,35.5
14137,川崎市麻生区,54781,0.019,19.6
13224,多摩市,52207,0.009,25.8
13108,江東区,52059,0.007,26.5
11203,川口市,47039,0.005,42.8
14212,厚木市,46158,0.014,28.1
13104,新宿区,43568,0.011,28.2
14208,逗子市,42497,0.045,18.2
14206,小田原市,35825,0.012,52.0
13114,中野区,35589,0.009,28.0
13103,港区,35309,0.012,23.9
14211,秦野市,33986,0.013,39.7
13113,渋谷区,33624,0.011,24.0
12203,市川市,32147,0.005,38.9
14214,伊勢原市,32140,0.013,31.0
14151,相模原市緑区,31592,0.011,38.5
13122,葛飾区,30965,0.005,38.4
13105,文京区,29687,0.010,30.7
13206,府中市,28476,0.007,27.6
13208,調布市,27137,0.009,24.1
13204,三鷹市,23945,0.009,26.1
14218,綾瀬市,23870,0.021,18.9
11227,朝霞市,23738,0.007,39.2
13118,荒川区,22424,0.007,34.2
13107,墨田区,21442,0.006,33.2
12207,松戸市,20516,0.004,47.1
13102,中央区,20389,0.009,27.7
13106,台東区,19845,0.006,31.6
14210,三浦市,18943,0.028,31.4
11222,越谷市,18822,0.004,52.2
11107,さいたま市浦和区,17936,0.007,46.5
11208,所沢市,17119,0.004,41.7
13229,西東京市,15885,0.006,32.2
13202,立川市,15360,0.005,35.0
12217,柏市,15080,0.003,55.0
11201,川越市,13968,0.004,51.2
13212,日野市,13708,0.006,31.4
12227,浦安市,12663,0.006,32.5
14321,高座郡寒川町,12359,0.011,24.1
11324,入間郡三芳町,12193,0.008,43.3
11108,さいたま市南区,12008,0.006,43.6
13211,小平市,11924,0.005,33.4
11102,さいたま市北区,11904,0.005,53.9
13222,東久留米市,11897,0.007,34.7
13225,稲城市,11748,0.008,23.2
12221,八千代市,11598,0.003,52.6
11224,戸田市,11476,0.006,40.1
13219,狛江市,11403,0.009,20.6
11230,新座市,11294,0.005,37.7
12219,市原市,10898,0.003,46.5
13223,武蔵村山市,10817,0.006,40.2
12216,習志野市,10811,0.005,43.8
09201,宇都宮市,10797,0.002,128.9
13101,千代田区,10587,0.010,27.7
13210,小金井市,10442,0.007,29.5
13213,東村山市,9968,0.005,36.8
12212,佐倉市,9800,0.003,61.5
14301,三浦郡葉山町,9790,0.029,20.6
13203,武蔵野市,9668,0.005,28.8
14341,中郡大磯町,9665,0.021,34.8
11229,和光市,9552,0.008,37.1
11221,草加市,9501,0.004,45.1
11109,さいたま市緑区,9468,0.004,48.4
13214,国分寺市,8942,0.006,31.9
11219,上尾市,8922,0.003,57.1
11245,ふじみ野市,8708,0.005,47.0
12101,千葉市中央区,8697,0.004,47.9
12106,千葉市美浜区,8697,0.003,43.4
12208,野田市,8636,0.002,64.3
13207,昭島市,8583,0.004,37.3
11104,さいたま市見沼区,8102,0.003,52.7
11228,志木市,7263,0.005,42.8
13215,国立市,7207,0.008,31.2
12103,千葉市稲毛区,6988,0.004,47.8
11214,春日部市,6933,0.003,60.5
12102,千葉市花見川区,6930,0.003,48.4
12220,流山市,6874,0.003,53.0
11225,入間市,6557,0.004,47.0
11103,さいたま市大宮区,6410,0.005,50.1
11106,さいたま市桜区,6337,0.006,45.0
12226,富津市,6304,0.005,33.7
22203,沼津市,6201,0.003,80.8
12206,木更津市,5795,0.004,30.1
13205,青梅市,5585,0.003,52.3
08220,つくば市,5540,0.002,81.2
11202,熊谷市,5461,0.002,82.2
11223,蕨市,5412,0.006,41.2
12105,千葉市緑区,5387,0.003,57.0
10202,高崎市,5279,0.001,113.6
14362,足柄上郡大井町,5250,0.010,44.8
11235,富士見市,5245,0.004,45.2
11215,狭山市,5072,0.003,49.2
11105,さいたま市中央区,5044,0.005,47.0
13220,東大和市,5015,0.005,37.7
11232,久喜市,4887,0.003,70.2
08201,水戸市,4876,0.002,124.2
12421,長生郡一宮町,4873,0.004,67.1
14342,中郡二宮町,4740,0.014,38.5
08208,龍ケ崎市,4729,0.002,75.2
11101,さいたま市西区,4622,0.003,50.6
12211,成田市,4444,0.003,76.3
11237,三郷市,4395,0.003,46.1
22102,静岡市駿河区,4268,0.002,127.7
13221,清瀬市,4167,0.005,37.8
14401,愛甲郡愛川町,3941,0.008,31.3
22101,静岡市葵区,3805,0.001,127.4
22103,静岡市清水区,3799,0.001,112.1
10201,前橋市,3706,0.001,118.5
12224,鎌ケ谷市,3702,0.003,47.8
12222,我孫子市,3689,0.002,59.9
11210,加須市,3654,0.003,76.4
11234,八潮市,3606,0.003,44.8
14217,南足柄市,3503,0.007,53.6
