コード,市区町村名,人数,獲得比率,距離
14210,三浦市,1902423,0.478,3.8
14201,横須賀市,321302,0.035,14.4
14108,横浜市金沢区,37133,0.012,23.3
14205,藤沢市,28330,0.005,28.6
14111,横浜市港南区,24406,0.008,28.1
14105,横浜市南区,22172,0.007,31.7
13111,大田区,21322,0.003,48.0
14110,横浜市戸塚区,20737,0.006,30.1
14101,横浜市鶴見区,16703,0.005,41.1
14109,横浜市港北区,16552,0.004,42.7
13112,世田谷区,16234,0.001,55.0
14112,横浜市旭区,15642,0.006,38.0
14204,鎌倉市,14698,0.006,22.3
14107,横浜市磯子区,14467,0.008,27.7
14106,横浜市保土ケ谷区,14448,0.006,36.0
14301,三浦郡葉山町,14261,0.020,14.6
14102,横浜市神奈川区,13821,0.005,38.1
14117,横浜市青葉区,13816,0.004,47.4
13209,町田市,12898,0.003,49.5
14131,川崎市川崎区,12663,0.005,42.7
14207,茅ヶ崎市,12444,0.004,30.3
14104,横浜市中区,11423,0.006,31.6
14115,横浜市栄区,11292,0.009,24.7
14208,逗子市,9702,0.014,17.7
14113,横浜市緑区,9539,0.005,42.6
14213,大和市,9406,0.004,39.7
14135,川崎市多摩区,9398,0.003,53.4
14152,相模原市中央区,9358,0.003,52.0
13109,品川区,9334,0.002,53.3
14134,川崎市高津区,8640,0.003,49.8
14118,横浜市都筑区,8619,0.004,44.6
13120,練馬区,8573,0.001,67.1
14116,横浜市泉区,8572,0.005,32.6
14153,相模原市南区,8339,0.003,47.0
14136,川崎市宮前区,8063,0.003,49.5
14132,川崎市幸区,7982,0.004,45.0
14133,川崎市中原区,7796,0.003,48.3
14203,平塚市,7649,0.003,36.5
13201,八王子市,7334,0.001,66.0
13108,江東区,7242,0.001,59.2
13110,目黒区,6938,0.002,55.0
13121,足立区,6851,0.001,72.4
13115,杉並区,6765,0.001,61.9
13123,江戸川区,5933,0.001,65.8
14114,横浜市瀬谷区,5814,0.004,38.4
14212,厚木市,5796,0.002,44.5
14103,横浜市西区,5720,0.005,35.0
13119,板橋区,5577,0.001,69.9
11203,川口市,4638,0.001,77.5
12203,市川市,4383,0.001,69.4
12204,船橋市,4311,0.001,74.6
13114,中野区,4135,0.001,62.9
14137,川崎市麻生区,4128,0.002,51.6
13122,葛飾区,4076,0.001,71.1
13206,府中市,3996,0.002,60.3
14216,座間市,3898,0.003,43.3
13104,新宿区,3823,0.001,62.8
13117,北区,3818,0.001,70.0
14218,綾瀬市,3796,0.004,37.2
11222,越谷市,3605,0.001,86.5
14206,小田原市,3509,0.002,47.3
13116,豊島区,3470,0.001,65.7
13113,渋谷区,3391,0.001,58.7
14151,相模原市緑区,3354,0.002,59.4
13214,国分寺市,3277,0.002,64.3
13103,港区,3260,0.001,57.8
14215,海老名市,3222,0.002,39.1
13224,多摩市,3129,0.001,56.7
11221,草加市,3059,0.001,79.2
14214,伊勢原市,2922,0.003,41.6
13208,調布市,2807,0.001,58.0
12207,松戸市,2789,0.001,78.5
13204,三鷹市,2742,0.001,60.4
13107,墨田区,2715,0.001,66.2
11208,所沢市,2712,0.001,75.0
14211,秦野市,2708,0.002,47.9
13102,中央区,2642,0.002,61.1
13105,文京区,2593,0.001,64.9
13106,台東区,2464,0.001,65.2
13229,西東京市,2380,0.001,66.4
14321,高座郡寒川町,2372,0.005,33.5
11201,川越市,2330,0.001,85.2
13212,日野市,2234,0.001,61.5
13228,あきる野市,2233,0.001,75.4
13202,立川市,2027,0.001,66.3
13211,小平市,1989,0.001,66.4
13220,東大和市,1958,0.001,69.8
13118,荒川区,1673,0.001,68.0
11108,さいたま市南区,1630,0.001,78.5
13222,東久留米市,1628,0.001,68.6
13213,東村山市,1501,0.001,69.9
12217,柏市,1475,0.000,86.3
11107,さいたま市浦和区,1400,0.001,81.5
11104,さいたま市見沼区,1254,0.001,87.6
12219,市原市,1245,0.000,55.0
12101,千葉市中央区,1243,0.000,68.2
11227,朝霞市,1241,0.001,74.0
11229,和光市,1238,0.001,72.0
11230,新座市,1222,0.001,72.2
11225,入間市,1192,0.001,78.6
11106,さいたま市桜区,1180,0.001,79.9
13205,青梅市,1178,0.001,81.0
14401,愛甲郡愛川町,1123,0.003,51.8
12234,南房総市,1123,0.001,33.9
12208,野田市,1122,0.001,98.5
13225,稲城市,1116,0.001,55.4
13381,三宅島三宅島三宅村,1116,0.002,117.8
11219,上尾市,1105,0.000,91.9
22103,静岡市清水区,1086,0.000,103.3
13210,小金井市,1040,0.001,63.0
11234,八潮市,1039,0.001,78.3
13219,狛江市,1036,0.001,54.9
11215,狭山市,1034,0.001,82.0
12206,木更津市,1027,0.001,41.1
11224,戸田市,1005,0.001,75.0
13207,昭島市,1002,0.001,67.2
11101,さいたま市西区,992,0.001,85.4
11214,春日部市,987,0.000,95.2
12220,流山市,977,0.000,85.7
13203,武蔵野市,968,0.001,63.2
12102,千葉市花見川区,965,0.000,73.5
12103,千葉市稲毛区,939,0.001,71.6
12221,八千代市,911,0.000,79.3
22205,熱海市,902,0.002,51.8
11102,さいたま市北区,888,0.001,88.8
11245,ふじみ野市,848,0.001,81.2
12205,館山市,835,0.001,29.1
12216,習志野市,820,0.000,70.6
11235,富士見市,801,0.001,79.8
11209,飯能市,801,0.001,92.0
11237,三郷市,771,0.001,79.2
08220,つくば市,764,0.000,113.4
11228,志木市,754,0.001,77.6
12104,千葉市若葉区,731,0.000,74.2
12105,千葉市緑区,717,0.001,72.6
38203,宇和島市,712,0.000,684.8
13101,千代田区,692,0.001,61.7
11105,さいたま市中央区,667,0.001,81.9
11238,蓮田市,644,0.001,95.4
09201,宇都宮市,639,0.000,163.6
04104,仙台市太白区,636,0.000,358.9
22342,駿東郡長泉町,635,0.001,67.9
08224,守谷市,629,0.001,94.8
11239,坂戸市,612,0.001,93.2
14342,中郡二宮町,589,0.002,38.4
14341,中郡大磯町,574,0.002,35.6
12227,浦安市,568,0.000,61.7
04205,気仙沼市,558,0.000,447.6
11103,さいたま市大宮区,546,0.000,85.0
13223,武蔵村山市,545,0.001,71.3
08229,稲敷市,537,0.000,113.7
22223,御前崎市,537,0.000,147.1
12212,佐倉市,528,0.000,83.7
12229,袖ケ浦市,525,0.001,47.7
11232,久喜市,515,0.000,105.1
22102,静岡市駿河区,509,0.000,115.7
13303,西多摩郡瑞穂町,508,0.001,73.9
13221,清瀬市,474,0.001,71.9
10202,高崎市,456,0.000,144.4
08235,つくばみらい市,455,0.001,101.1
12223,鴨川市,455,0.001,39.4
12222,我孫子市,454,0.000,90.2
14217,南足柄市,446,0.001,53.5
11243,吉川市,446,0.001,86.9
08201,水戸市,442,0.000,155.0
11212,東松山市,418,0.000,102.2
04202,石巻市,418,0.000,398.0
12403,山武郡九十九里町,418,0.000,86.1
12224,鎌ケ谷市,416,0.000,77.8
11109,さいたま市緑区,409,0.000,83.3
19211,笛吹市,402,0.000,99.7
39401,高岡郡中土佐町,402,0.002,627.6
12210,茂原市,399,0.000,69.6
11218,深谷市,387,0.000,119.9
13227,羽村市,383,0.001,74.5
11206,行田市,376,0.000,112.3
14384,足柄下郡湯河原町,373,0.002,49.8
11110,さいたま市岩槻区,372,0.000,89.3
07204,いわき市,368,0.000,241.8
11241,鶴ヶ島市,356,0.000,90.7
11223,蕨市,352,0.000,76.1
11202,熊谷市,347,0.000,115.7
22208,伊東市,346,0.000,52.7
39201,高知市,345,0.000,584.9
12226,富津市,330,0.001,28.6
12231,印西市,329,0.000,88.3
13218,福生市,322,0.001,70.7
12225,君津市,322,0.000,39.3
12106,千葉市美浜区,322,0.000,67.7
11207,秩父市,319,0.001,120.1
22203,沼津市,314,0.000,68.3
12228,四街道市,311,0.000,77.3
13215,国立市,309,0.000,62.8
14362,足柄上郡大井町,309,0.002,46.9
34202,呉市,306,0.000,645.8
14361,足柄上郡中井町,305,0.003,42.4
12230,八街市,300,0.000,82.5
09208,小山市,298,0.000,130.3
15361,南蒲原郡田上町,298,0.000,289.1
40137,福岡市早良区,293,0.000,871.1
11210,加須市,293,0.000,111.3
11442,南埼玉郡宮代町,293,0.001,98.8
08204,古河市,292,0.000,116.5
11217,鴻巣市,285,0.000,104.6
22206,三島市,283,0.000,61.8
23105,名古屋市中村区,280,0.000,250.8
22210,富士市,268,0.000,82.0
11301,北足立郡伊奈町,265,0.001,95.2
10211,安中市,263,0.000,153.4
08203,土浦市,262,0.000,118.4
11246,白岡市,258,0.000,98.0
23112,名古屋市南区,252,0.000,245.5
12239,大網白里市,251,0.000,76.3
11324,入間郡三芳町,249,0.000,77.4
12232,白井市,241,0.000,83.7
11233,北本市,237,0.000,98.7
10201,前橋市,237,0.000,151.0
09216,下野市,234,0.000,143.4
10205,太田市,228,0.000,132.0
01101,札幌市中央区,224,0.000,890.6
11242,日高市,219,0.000,87.9
22212,焼津市,217,0.000,124.5
12211,成田市,215,0.000,100.0
08216,笠間市,215,0.000,146.7
27210,枚方市,212,0.000,360.5
12215,旭市,208,0.000,115.0
27228,泉南市,205,0.000,405.0
22215,御殿場市,201,0.000,68.1
19365,南巨摩郡身延町,200,0.002,108.1
19422,南都留郡道志村,200,0.011,69.0
11464,北葛飾郡杉戸町,200,0.000,99.6
08217,取手市,199,0.000,94.7
09202,足利市,198,0.000,136.1
33202,倉敷市,197,0.000,538.9
10204,伊勢崎市,196,0.000,136.9
13361,大島町,195,0.001,49.1
08223,潮来市,194,0.001,124.3
09364,下都賀郡野木町,192,0.001,121.7
