コード,市区町村名,人数,獲得比率,距離
14201,横須賀市,1058180,0.071,2.8
14210,三浦市,75108,0.039,12.7
14108,横浜市金沢区,54711,0.009,8.8
14101,横浜市鶴見区,39341,0.002,25.1
14208,逗子市,32101,0.020,8.3
14111,横浜市港南区,26890,0.004,14.8
14205,藤沢市,22218,0.002,21.3
14105,横浜市南区,18810,0.003,17.3
14301,三浦郡葉山町,17432,0.020,6.5
14110,横浜市戸塚区,13460,0.002,18.4
14117,横浜市青葉区,12888,0.002,33.8
14106,横浜市保土ケ谷区,12261,0.002,21.7
14204,鎌倉市,12042,0.003,12.7
14104,横浜市中区,11558,0.004,15.8
14107,横浜市磯子区,10000,0.005,12.9
14102,横浜市神奈川区,9336,0.002,22.9
14115,横浜市栄区,8162,0.004,12.7
13111,大田区,7816,0.001,31.7
13105,文京区,7643,0.001,48.6
14133,川崎市中原区,7272,0.002,32.5
13109,品川区,6438,0.001,37.0
13103,港区,6312,0.001,41.5
14118,横浜市都筑区,5270,0.002,30.0
13108,江東区,5061,0.001,42.7
14109,横浜市港北区,5018,0.001,27.3
13112,世田谷区,5001,0.001,39.4
14113,横浜市緑区,4755,0.002,29.5
14207,茅ヶ崎市,4613,0.001,25.5
14131,川崎市川崎区,4604,0.001,26.3
13123,江戸川区,4201,0.001,49.3
14132,川崎市幸区,4180,0.002,28.9
13120,練馬区,4120,0.001,51.6
14112,横浜市旭区,3964,0.002,25.0
13209,町田市,3918,0.001,37.4
14135,川崎市多摩区,3879,0.001,38.8
14103,横浜市西区,3840,0.002,19.8
14116,横浜市泉区,3815,0.002,21.7
13201,八王子市,3484,0.001,55.9
14213,大和市,3297,0.001,28.9
13102,中央区,3237,0.001,44.6
13121,足立区,3235,0.000,56.0
14152,相模原市中央区,3111,0.001,41.4
14136,川崎市宮前区,3060,0.001,34.7
14153,相模原市南区,2981,0.001,36.3
12213,東金市,2512,0.001,69.8
14203,平塚市,2415,0.001,33.3
13208,調布市,2291,0.000,43.4
13115,杉並区,2257,0.000,46.3
10212,みどり市,2245,0.001,138.9
14215,海老名市,2244,0.001,31.0
14137,川崎市麻生区,2214,0.001,38.0
13122,葛飾区,2211,0.000,54.6
13116,豊島区,2180,0.001,49.6
14212,厚木市,2053,0.001,37.3
14114,横浜市瀬谷区,2042,0.002,26.6
13119,板橋区,2017,0.000,53.9
12203,市川市,1975,0.000,53.0
14214,伊勢原市,1949,0.001,36.8
12204,船橋市,1866,0.000,58.5
13104,新宿区,1863,0.001,46.6
13114,中野区,1805,0.001,46.9
14134,川崎市高津区,1748,0.001,34.4
13204,三鷹市,1678,0.001,45.6
12217,柏市,1668,0.000,69.9
14218,綾瀬市,1651,0.001,28.1
11230,新座市,1520,0.000,57.2
13110,目黒区,1471,0.000,38.8
11203,川口市,1471,0.000,61.3
13106,台東区,1453,0.001,48.7
12221,八千代市,1431,0.000,63.6
13117,北区,1390,0.000,53.8
14211,秦野市,1389,0.001,44.9
14216,座間市,1276,0.001,33.2
13113,渋谷区,1255,0.001,42.6
11222,越谷市,1182,0.000,70.1
14151,相模原市緑区,1174,0.001,51.2
12227,浦安市,1160,0.001,45.4
12207,松戸市,1127,0.000,62.1
14206,小田原市,1116,0.001,50.6
22207,富士宮市,1060,0.000,95.6
13214,国分寺市,1011,0.001,50.7
13206,府中市,1001,0.000,46.4
11224,戸田市,967,0.001,59.2
11102,さいたま市北区,945,0.001,73.1
13107,墨田区,936,0.000,49.7
13224,多摩市,934,0.001,43.8
14321,高座郡寒川町,878,0.001,27.9
11227,朝霞市,873,0.001,58.6
13118,荒川区,873,0.000,51.6
01105,札幌市豊平区,807,0.000,869.8
13207,昭島市,801,0.001,55.0
04214,東松島市,792,0.000,370.7
13229,西東京市,787,0.000,51.6
04205,気仙沼市,748,0.000,431.2
13211,小平市,740,0.000,52.5
11208,所沢市,735,0.000,60.9
12463,安房郡鋸南町,716,0.003,25.5
12102,千葉市花見川区,712,0.000,58.1
12216,習志野市,703,0.000,54.8
11108,さいたま市南区,694,0.000,62.7
12101,千葉市中央区,693,0.000,53.9
13222,東久留米市,684,0.001,54.1
11105,さいたま市中央区,684,0.001,66.3
13101,千代田区,656,0.001,45.3
13219,狛江市,636,0.000,40.0
11221,草加市,635,0.000,62.7
42202,佐世保市,622,0.000,942.6
45202,都城市,621,0.000,884.7
11201,川越市,609,0.000,70.7
12208,野田市,608,0.000,82.1
12103,千葉市稲毛区,601,0.000,56.5
11219,上尾市,594,0.000,76.4
13205,青梅市,588,0.000,69.6
11107,さいたま市浦和区,565,0.000,65.6
12215,旭市,564,0.000,102.5
11218,深谷市,562,0.000,106.4
12219,市原市,557,0.000,44.2
11234,八潮市,554,0.001,61.9
12206,木更津市,545,0.000,28.2
09201,宇都宮市,529,0.000,147.3
13212,日野市,519,0.000,49.0
11235,富士見市,501,0.000,64.7
12212,佐倉市,479,0.000,69.2
14342,中郡二宮町,477,0.002,38.5
07204,いわき市,466,0.000,225.5
22103,静岡市清水区,465,0.000,110.1
11238,蓮田市,461,0.001,79.6
12229,袖ケ浦市,453,0.001,35.2
11215,狭山市,434,0.000,68.2
13213,東村山市,425,0.000,55.9
41201,佐賀市,418,0.000,889.5
10204,伊勢崎市,401,0.000,123.4
13210,小金井市,399,0.000,48.7
11237,三郷市,398,0.000,62.7
12104,千葉市若葉区,396,0.000,60.2
22212,焼津市,395,0.000,134.0
13203,武蔵野市,380,0.000,48.2
12230,八街市,379,0.000,68.7
11101,さいたま市西区,375,0.000,70.1
14401,愛甲郡愛川町,370,0.001,43.3
11103,さいたま市大宮区,364,0.000,69.4
11223,蕨市,363,0.000,60.1
15101,新潟市北区,344,0.000,297.0
45201,宮崎市,344,0.000,860.6
46201,鹿児島市,325,0.000,948.8
11106,さいたま市桜区,324,0.000,64.3
43443,上益城郡益城町,323,0.001,860.2
11225,入間市,320,0.000,65.6
10202,高崎市,318,0.000,132.1
14217,南足柄市,317,0.001,54.9
12106,千葉市美浜区,316,0.000,52.4
12228,四街道市,305,0.000,62.5
23211,豊田市,294,0.000,217.9
22102,静岡市駿河区,291,0.000,124.1
12220,流山市,289,0.000,69.2
12231,印西市,288,0.000,72.8
30341,伊都郡かつらぎ町,285,0.000,398.6
30201,和歌山市,284,0.000,423.0
11240,幸手市,281,0.000,88.0
11104,さいたま市見沼区,279,0.000,71.7
11228,志木市,274,0.000,62.2
14384,足柄下郡湯河原町,274,0.001,55.9
10201,前橋市,273,0.000,137.6
11241,鶴ヶ島市,273,0.000,76.9
11217,鴻巣市,272,0.000,89.6
12105,千葉市緑区,272,0.000,59.9
28201,姫路市,269,0.000,457.1
34213,廿日市市,265,0.000,694.7
19211,笛吹市,261,0.000,96.7
38206,西条市,258,0.000,621.2
12225,君津市,256,0.000,32.1
20201,長野市,255,0.000,205.6
10205,太田市,255,0.000,117.6
13225,稲城市,252,0.000,41.8
13215,国立市,251,0.000,49.6
08201,水戸市,247,0.000,138.8
22101,静岡市葵区,246,0.000,129.9
27127,大阪市北区,246,0.000,385.8
40106,北九州市小倉北区,243,0.000,819.9
11229,和光市,242,0.000,56.5
11214,春日部市,231,0.000,78.9
12233,富里市,229,0.000,77.0
11210,加須市,227,0.000,95.6
12226,富津市,227,0.000,21.5
35201,下関市,218,0.000,803.6
11202,熊谷市,217,0.000,101.5
27119,大阪市阿倍野区,213,0.000,386.2
12239,大網白里市,211,0.000,64.5
11216,羽生市,211,0.000,99.6
04102,仙台市宮城野区,209,0.000,352.0
22220,裾野市,208,0.000,75.6
13202,立川市,207,0.000,53.3
12237,山武市,204,0.000,76.7
09203,栃木市,203,0.000,118.4
13227,羽村市,199,0.000,62.5
08224,守谷市,197,0.000,78.3
12211,成田市,196,0.000,85.2
11212,東松山市,193,0.000,87.9
23203,一宮市,192,0.000,261.2
11239,坂戸市,190,0.000,79.2
15103,新潟市中央区,184,0.000,297.4
40131,福岡市東区,181,0.000,864.0
27203,豊中市,179,0.000,386.8
12222,我孫子市,174,0.000,73.9
13218,福生市,167,0.000,58.6
08202,日立市,167,0.000,169.4
11245,ふじみ野市,166,0.000,66.5
11465,北葛飾郡松伏町,164,0.001,73.9
13228,あきる野市,161,0.000,65.1
22208,伊東市,161,0.000,64.8
44201,大分市,160,0.000,776.5
11209,飯能市,159,0.000,80.3
11109,さいたま市緑区,159,0.000,67.2
15218,五泉市,159,0.000,265.4
21219,郡上市,158,0.000,253.0
16211,射水市,157,0.000,282.8
27215,寝屋川市,156,0.000,373.1
01101,札幌市中央区,154,0.000,874.2
23201,豊橋市,153,0.000,215.5
03207,久慈市,153,0.000,569.1
11231,桶川市,149,0.000,80.6
24561,南牟婁郡御浜町,146,0.002,373.1
27102,大阪市都島区,145,0.000,382.8
11232,久喜市,144,0.000,89.3
46404,出水郡長島町,142,0.001,946.3
04202,石巻市,142,0.000,381.6
13223,武蔵村山市,140,0.000,58.5
04104,仙台市太白区,138,0.000,342.5
19201,甲府市,134,0.000,109.6
02202,弘前市,131,0.000,596.0
42201,長崎市,131,0.000,944.8
06203,鶴岡市,127,0.000,365.8
02207,三沢市,125,0.000,628.4
27209,守口市,123,0.000,379.1
27107,大阪市港区,120,0.000,390.8
22342,駿東郡長泉町,120,0.000,73.8
43104,熊本市南区,119,0.000,876.1
08232,神栖市,118,0.000,113.9
12232,白井市,117,0.000,67.7
46215,薩摩川内市,117,0.000,947.1
42211,五島市,116,0.000,1046.7
28101,神戸市東灘区,115,0.000,406.0
22133,浜松市西区,115,0.000,196.3
22206,三島市,113,0.000,68.6
04101,仙台市青葉区,113,0.000,351.5
27128,大阪市中央区,112,0.000,384.8
40136,福岡市城南区,110,0.000,874.8
26109,京都市伏見区,110,0.000,359.0
08220,つくば市,110,0.000,96.9
35203,山口市,109,0.000,744.3
15102,新潟市東区,108,0.000,298.1
09208,小山市,108,0.000,114.1
13303,西多摩郡瑞穂町,107,0.000,61.4
27207,高槻市,107,0.000,372.6
23215,犬山市,107,0.000,244.3
25207,守山市,106,0.000,337.9
11408,大里郡寄居町,105,0.000,103.3
11343,比企郡小川町,104,0.000,93.0
11206,行田市,104,0.000,97.4
10203,桐生市,104,0.000,133.6
40107,北九州市小倉南区,104,0.000,821.8
26107,京都市南区,103,0.000,360.7
23116,名古屋市天白区,103,0.000,245.2
38203,宇和島市,102,0.000,694.0
23220,稲沢市,101,0.000,264.4
08217,取手市,101,0.000,78.4
22210,富士市,100,0.000,86.2
11243,吉川市,100,0.000,70.4
01102,札幌市北区,100,0.000,883.8
08204,古河市,99,0.000,100.3
12218,勝浦市,98,0.000,54.7
34202,呉市,97,0.000,652.6
07205,白河市,96,0.000,211.6
27120,大阪市住吉区,96,0.000,387.3
17211,能美市,96,0.000,308.8
12224,鎌ケ谷市,96,0.000,61.5
22215,御殿場市,95,0.000,70.8
40109,北九州市八幡西区,95,0.000,832.2
47201,那覇市,94,0.000,1523.6
08207,結城市,93,0.000,110.1
28206,芦屋市,92,0.000,402.7
27202,岸和田市,91,0.000,400.0
23115,名古屋市名東区,91,0.000,242.5
